name,week,manager,position,roster_position,points,2-PT,Blk Kick,FG 0-19,FG 20-29,FG 30-39,FG 40-49,FG 50+,Fum Lost,Fum Rec,Fum Ret TD,Int,PAT Made,Pass TD,Pass Yds,Pts Allow,Pts Allow 0,Pts Allow 1-6,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allow 35+,Pts Allow 7-13,Rec,Rec TD,Rec Yds,Ret TD,Rush Att,Rush TD,Rush Yds,Sack,Safe,TD,Targets,XPR
JuJu Smith-Schuster,1,Joel Gitar,WR,BN,7.2,0,,,,,,,0,,0,0,,0,0,,,,,,,,,4,0,52,0,0,0,0,,,,8,
Melvin Gordon III,1,Joel Gitar,RB,BN,19.3,0,,,,,,,0,,0,0,,0,0,,,,,,,,,3,0,17,0,11,1,101,,,,3,
Baker Mayfield,1,Joel Gitar,QB,BN,13.64,0,,,,,,,0,,0,1,,0,321,,,,,,,,,0,0,11,0,1,0,7,,,,0,
Mecole Hardman,1,Joel Gitar,WR,BN,3.4,0,,,,,,,0,,0,0,,0,0,,,,,,,,,3,0,19,0,0,0,0,,,,3,
Henry Ruggs III,1,Joel Gitar,WR,BN,5.6,0,,,,,,,0,,0,0,,0,0,,,,,,,,,2,0,46,0,0,0,0,,,,5,
Rob Gronkowski,1,Joel Gitar,TE,BN,25.0,0,,,,,,,0,,0,0,,0,0,,,,,,,,,8,2,90,0,0,0,0,,,,8,
Matt Gay,1,Joel Gitar,K,K,12.0,,,0,1,0,0,1,,,,,4,,,,,,,,,,,,,,,,,,,,,,
Denver,1,Joel Gitar,DEF,DEF,8.0,,0,,,,,,,1,,0,,,,13,0,0,0,0,0,0,1,,,,0,,,,2,0,0,,0
Russell Wilson,1,Samuel,QB,QB,27.06,0,,,,,,,0,,0,0,,4,254,,,,,,,,,0,0,0,0,5,0,9,,,,0,
Tyler Lockett,1,Samuel,WR,WR,24.0,0,,,,,,,0,,0,0,,0,0,,,,,,,,,4,2,100,0,0,0,0,,,,5,
Antonio Brown,1,Samuel,WR,WR,21.2,0,,,,,,,0,,0,0,,0,0,,,,,,,,,5,1,121,0,1,0,6,,,,7,
Austin Ekeler,1,Samuel,RB,RB,11.7,0,,,,,,,0,,0,0,,0,0,,,,,,,,,0,0,0,0,15,1,57,,,,0,
Mike Davis,1,Samuel,RB,RB,8.7,0,,,,,,,0,,0,0,,0,0,,,,,,,,,3,0,23,0,15,0,49,,,,6,
Darren Waller,1,Samuel,TE,TE,21.5,0,,,,,,,0,,0,0,,0,0,,,,,,,,,10,1,105,0,0,0,0,,,,19,
Tee Higgins,1,Samuel,WR,W/R/T,13.8,0,,,,,,,0,,0,0,,0,0,,,,,,,,,4,1,58,0,0,0,0,,,,5,
Damien Harris,1,Samuel,RB,BN,10.7,0,,,,,,,1,,0,0,,0,0,,,,,,,,,2,0,17,0,23,0,100,,,,3,
Chase Claypool,1,Samuel,WR,BN,8.5,0,,,,,,,0,,0,0,,0,0,,,,,,,,,3,0,45,0,1,0,25,,,,5,
Myles Gaskin,1,Samuel,RB,BN,10.1,0,,,,,,,0,,0,0,,0,0,,,,,,,,,5,0,27,0,9,0,49,,,,5,
